['Time':2016-07-21 19:59:43,'Commit:'onlineDuration]{196}
['Time':2016-07-21 19:59:51,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:02:48,'Commit:'onlineDuration]{112}
['Time':2016-07-21 20:03:24,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:03:33,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:03:48,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:05:15,'Commit:'onlineDuration]{56}
['Time':2016-07-21 20:05:17,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:10:43,'Commit:'onlineDuration]{280}
['Time':2016-07-21 20:10:47,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:10:48,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:10:52,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:10:53,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:10:53,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:10:58,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:11:02,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:11:14,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:11:17,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:11:33,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:11:36,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:15:27,'Commit:'onlineDuration]{168}
['Time':2016-07-21 20:15:28,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:15:31,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:15:33,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:15:34,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:16:11,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:17:00,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:21:53,'Commit:'openTeam]{190}
['Time':2016-07-21 20:22:21,'Commit:'onlineDuration]{280}
['Time':2016-07-21 20:22:24,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:22:30,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:22:31,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:22:35,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:22:39,'Commit:'onlineDuration]{0}
['Time':2016-07-21 20:23:46,'Commit:'onlineDuration]{56}
